Term	San Francisco	New York	Chicago
C++	12.564102564102564	12.533333333333333	4.929577464788732
Excel	2.8205128205128207	7.2	2.816901408450704
Hadoop	4.615384615384615	2.4	16.197183098591548
Java	15.128205128205128	12.0	11.971830985915492
JavaScript	2.051282051282051	2.1333333333333333	1.408450704225352
Matlab	2.5641025641025643	1.0666666666666667	4.225352112676056
Perl	0.5128205128205128	8.266666666666667	9.154929577464788
Python	21.53846153846154	29.6	28.169014084507044
R	14.102564102564102	38.4	30.281690140845072
SAS	8.461538461538462	6.133333333333334	30.281690140845072
SPSS	0.2564102564102564	1.6	4.929577464788732
SQL	12.051282051282051	8.0	13.380281690140846
Spark	3.58974358974359	2.933333333333333	11.971830985915492
Tableau	1.2820512820512822	0.8	1.408450704225352
